a_o,mes,nacionalidad,codigo_iso_3166,femenino,masculino,total,latitud_longitud
2018,Febrero,Croacia,191,22,46,68,"(4.697144,-74.140516)"
2019,Septiembre,Argentina,32,253,192,445,"(12.586067,-81.702563)"
2022,Julio,Venezuela,862,0,1,1,"(11.247723,-74.213989)"
2017,Diciembre,Bahamas,44,1,2,3,"(10.445761,-75.516429)"
2017,Octubre,Venezuela,862,6608,7247,13855,"(11.360009,-72.129330)"
2014,Octubre,Mauricio,480,0,1,1,"(4.697144,-74.140516)"
2016,Abril,Alemania,276,5,4,9,"(0.25129,-76.875963)"
2023,Enero,Islas Caimán/Territorio Británico de Ultramar,136,2,0,2,"(10.445761,-75.516429)"
2021,Agosto,China,156,0,4,4,"(10.971302,-74.765397)"
2017,Mayo,Brasil,76,172,249,421,"(6.171601,-75.427454)"
2017,Mayo,Bahamas,44,7,8,15,"(4.697144,-74.140516)"
2012,Julio,Francia,250,1483,2272,3755,"(4.697144,-74.140516)"
2018,Marzo,España,724,3,7,10,"(4.815061,-75.736532)"
2020,Noviembre,San  Vicente y las Granadinas,670,0,1,1,"(10.445761,-75.516429)"
2019,Julio,Madagascar,450,1,1,2,"(4.697144,-74.140516)"
2017,Noviembre,Países Bajos,528,3,4,7,"(-4.197703,-69.941278)"
2019,Mayo,Granada,308,0,1,1,"(10.445761,-75.516429)"
2020,Octubre,Perú,604,7,9,16,"(3.541112,-76.384584)"
2023,Abril,Israel,376,2,3,5,"(4.452882,-75.766298)"
2012,Marzo,Guyana,328,0,7,7,"(10.971302,-74.765397)"
2021,Noviembre,Tanzania,834,0,1,1,"(6.171601,-75.427454)"
2015,Mayo,Suecia,752,1,1,2,"(12.586067,-81.702563)"
2023,Abril,Uruguay,858,10,17,27,"(3.541112,-76.384584)"
2017,Febrero,Cuba,192,0,4,4,"(0.814836,-77.662532)"
2023,Abril,India,356,0,53,53,"(11.247723,-74.213989)"
2022,Febrero,Sudán,736,0,1,1,"(4.697144,-74.140516)"
2013,Septiembre,India,356,0,1,1,"(4.815061,-75.736532)"
2022,Agosto,Bulgaria,100,1,0,1,"(4.815061,-75.736532)"
2019,Julio,Portugal,620,7,7,14,"(11.360009,-72.129330)"
2013,Febrero,Venezuela,862,6,25,31,"(4.815061,-75.736532)"
2018,Enero,Filipinas,608,0,8,8,"(9.402978,-75.681599)"
2016,Enero,Cuba,192,0,1,1,"(0.25129,-76.875963)"
2022,Marzo,Suecia,752,0,1,1,"(4.452882,-75.766298)"
2017,Agosto,Bulgaria,100,1,0,1,"(4.452882,-75.766298)"
2022,Febrero,Países Bajos,528,1,0,1,"(7.927209,-72.507910)"
2019,Junio,Perú,604,54,70,124,"(7.818934,-72.453226)"
2018,Mayo,Croacia,191,0,1,1,"(3.541112,-76.384584)"
2017,Marzo,Sudáfrica,710,1,1,2,"(3.541112,-76.384584)"
2014,Noviembre,Paraguay,600,2,0,2,"(0.814836,-77.662532)"
2015,Abril,Suiza,756,2,9,11,"(10.886611,-74.776708)"
2015,Agosto,Brasil,76,25,37,62,"(7.818934,-72.453226)"
2021,Septiembre,Serbia,688,14,28,42,"(4.697144,-74.140516)"
2015,Marzo,Hong Kong,344,0,1,1,"(4.697144,-74.140516)"
2019,Enero,República Democrática Popular  Lao,418,1,0,1,"(4.697144,-74.140516)"
2023,Mayo,Rumania,642,1,2,3,"(11.360009,-72.129330)"
2018,Junio,Ecuador,218,17,11,28,"(12.586067,-81.702563)"
2018,Enero,Dinamarca,208,2,0,2,"(-4.223468,-69.945098)"
2014,Octubre,República de Kosovo,901,1,1,2,"(4.697144,-74.140516)"
2020,Julio,Polonia,616,1,0,1,"(4.697144,-74.140516)"
2022,Junio,Antigua y Barbuda,28,2,4,6,"(4.697144,-74.140516)"
2015,Mayo,Bélgica,56,0,1,1,"(10.886611,-74.776708)"
2014,Junio,Brasil,76,1,1,2,"(11.247723,-74.213989)"
2022,Mayo,Grecia,300,0,1,1,"(7.818934,-72.453226)"
2020,Febrero,República de Corea,410,0,4,4,"(7.818934,-72.453226)"
2014,Diciembre,Austria,40,4,11,15,"(3.541112,-76.384584)"
2023,Enero,Turquía,792,1,0,1,"(10.886611,-74.776708)"
2016,Noviembre,Belice,84,4,19,23,"(4.697144,-74.140516)"
2013,Agosto,Australia,36,26,27,53,"(0.814836,-77.662532)"
2017,Diciembre,Chile,152,110,162,272,"(0.814836,-77.662532)"
2021,Abril,Sudáfrica,710,0,1,1,"(10.886611,-74.776708)"
2017,Mayo,República Dominicana,214,0,1,1,"(4.452882,-75.766298)"
2022,Abril,Dinamarca,208,25,24,49,"(10.445761,-75.516429)"
2018,Septiembre,Canadá,124,18,30,48,"(4.815061,-75.736532)"
2013,Septiembre,Italia,380,3,0,3,"(7.927209,-72.507910)"
2019,Enero,Polonia,616,1,0,1,"(11.117806,-74.232622)"
2018,Octubre,Eslovenia,705,1,0,1,"(0.25129,-76.875963)"
2019,Abril,Francia,250,237,336,573,"(6.171601,-75.427454)"
2016,Agosto,Argentina,32,9,26,35,"(7.818934,-72.453226)"
2019,Marzo,Brasil,76,2,2,4,"(11.360009,-72.129330)"
2017,Marzo,Alemania,276,32,22,54,"(8.635765,-77.346578)"
2015,Noviembre,Irán,364,0,1,1,"(10.445761,-75.516429)"
2013,Septiembre,Estados Unidos de América,840,0,4,4,"(11.247723,-74.213989)"
2013,Noviembre,Canadá,124,5,7,12,"(4.815061,-75.736532)"
2019,Enero,España,724,3,12,15,"(11.360009,-72.129330)"
2013,Julio,Dominica,212,0,4,4,"(4.697144,-74.140516)"
2017,Noviembre,Lituania,440,18,22,40,"(4.697144,-74.140516)"
2018,Marzo,Filipinas,608,0,13,13,"(9.402978,-75.681599)"
2015,Diciembre,Uruguay,858,9,2,11,"(10.408582,-75.538003)"
2014,Diciembre,Venezuela,862,0,6,6,"(11.117806,-74.232622)"
2017,Enero,Egipto,818,0,1,1,"(8.635765,-77.346578)"
2014,Julio,Polonia,616,1,0,1,"(13.3387613,-81.372937)"
2013,Noviembre,Senegal,686,0,2,2,"(4.697144,-74.140516)"
2019,Marzo,Brasil,76,0,1,1,"(7.818934,-72.453226)"
2014,Abril,Taiwán,158,1,0,1,"(7.128456,-73.183637)"
2022,Marzo,Trinidad y Tobago,780,0,1,1,"(10.408582,-75.538003)"
2019,Diciembre,Filipinas,608,1,9,10,"(3.541112,-76.384584)"
2022,Marzo,Bosnia y Herzegovina,70,3,2,5,"(6.171601,-75.427454)"
2017,Diciembre,República Checa,203,5,9,14,"(6.171601,-75.427454)"
2019,Octubre,Bélgica,56,0,8,8,"(10.886611,-74.776708)"
2021,Diciembre,Vietnam,704,5,4,9,"(4.697144,-74.140516)"
2018,Julio,Chile,152,0,3,3,"(10.971302,-74.765397)"
2016,Junio,Noruega,578,1,1,2,"(11.247723,-74.213989)"
2020,Febrero,México,484,3,13,16,"(4.815061,-75.736532)"
2015,Junio,Costa Rica,188,3,2,5,"(10.408582,-75.538003)"
2014,Agosto,Santa Lucia,662,3,7,10,"(4.697144,-74.140516)"
2012,Abril,Países Bajos,528,14,6,20,"(0.814836,-77.662532)"
2016,Mayo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,122,258,380,"(6.171601,-75.427454)"
2020,Enero,Eslovaquia,703,0,1,1,"(-4.223468,-69.945098)"
2013,Diciembre,Israel,376,0,5,5,"(10.886611,-74.776708)"
2016,Septiembre,Nicaragua,558,1,0,1,"(4.815061,-75.736532)"
2015,Noviembre,República Dominicana,214,0,1,1,"(8.635765,-77.346578)"
2017,Mayo,Argentina,32,2,2,4,"(4.815061,-75.736532)"
2021,Julio,México,484,0,1,1,"(0.814836,-77.662532)"
2018,Agosto,México,484,9,9,18,"(7.128456,-73.183637)"
2023,Marzo,Azerbaiyán,31,1,0,1,"(0.814836,-77.662532)"
2018,Octubre,México,484,13,34,47,"(7.818934,-72.453226)"
2012,Septiembre,Israel,376,0,1,1,"(11.247723,-74.213989)"
2016,Marzo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,233,207,440,"(10.408582,-75.538003)"
2017,Octubre,México,484,1,1,2,"(6.185799,-67.483929)"
2021,Abril,Alemania,276,275,510,785,"(4.697144,-74.140516)"
2014,Agosto,Malí,466,0,4,4,"(4.697144,-74.140516)"
2022,Mayo,Suecia,752,1,2,3,"(10.886611,-74.776708)"
2019,Junio,Mongolia,496,0,2,2,"(10.445761,-75.516429)"
2022,Diciembre,República Dominicana,214,1,3,4,"(7.818934,-72.453226)"
2020,Marzo,Costa Rica,188,4,9,13,"(10.886611,-74.776708)"
2012,Noviembre,Suiza,756,11,43,54,"(6.171601,-75.427454)"
2023,Mayo,Panamá,591,42,32,74,"(11.117806,-74.232622)"
2018,Diciembre,Argentina,32,1335,1148,2483,"(10.445761,-75.516429)"
2022,Noviembre,El Salvador,222,1,30,31,"(10.886611,-74.776708)"
2016,Septiembre,Bélgica,56,5,15,20,"(10.445761,-75.516429)"
2018,Diciembre,Panamá,591,4,13,17,"(8.635765,-77.346578)"
2021,Septiembre,Austria,40,0,1,1,"(4.815061,-75.736532)"
2016,Junio,Portugal,620,3,1,4,"(0.814836,-77.662532)"
2019,Julio,Dinamarca,208,3,0,3,"(10.408582,-75.538003)"
2022,Marzo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,2,5,7,"(4.815061,-75.736532)"
2021,Junio,Grecia,300,1,0,1,"(7.916725,-72.462544)"
2012,Agosto,República Checa,203,0,2,2,"(11.360009,-72.129330)"
2021,Noviembre,Brasil,76,8,73,81,"(10.408582,-75.538003)"
2022,Septiembre,Reino Unido de Gran Bretaña e Irlanda del Norte,826,2,6,8,"(-4.197703,-69.941278)"
2016,Abril,Venezuela,862,0,1,1,"(8.635765,-77.346578)"
2022,Febrero,Países Bajos,528,1238,1706,2944,"(4.697144,-74.140516)"
2023,Febrero,Vietnam,704,0,7,7,"(3.893038,-77.067921)"
2022,Noviembre,Ecuador,218,479,432,911,"(6.171601,-75.427454)"
2015,Octubre,Nicaragua,558,10,9,19,"(10.445761,-75.516429)"
2022,Abril,Eslovaquia,703,2,6,8,"(10.445761,-75.516429)"
2016,Julio,Cuba,192,172,296,468,"(4.697144,-74.140516)"
2017,Mayo,Chile,152,2,2,4,"(-4.197703,-69.941278)"
2022,Abril,Trinidad y Tobago,780,0,32,32,"(11.247723,-74.213989)"
2013,Mayo,Cuba,192,3,8,11,"(10.445761,-75.516429)"
2019,Noviembre,Países Bajos,528,0,1,1,"(4.697144,-74.140516)"
2018,Septiembre,Santa Lucia,662,1,2,3,"(6.171601,-75.427454)"
2022,Octubre,República Checa,203,2,1,3,"(3.541112,-76.384584)"
2016,Noviembre,Madagascar,450,3,0,3,"(4.697144,-74.140516)"
2015,Noviembre,Austria,40,7,15,22,"(6.171601,-75.427454)"
2013,Febrero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,0,1,1,"(7.818934,-72.453226)"
2015,Febrero,República de Irlanda,372,0,2,2,"(11.360009,-72.129330)"
2015,Mayo,Croacia,191,0,1,1,"(6.171601,-75.427454)"
2019,Noviembre,Estados Unidos de América,840,0,1,1,"(11.528919,-72.919681)"
2018,Diciembre,Federación de Rusia,643,1,7,8,"(10.408582,-75.538003)"
2012,Julio,Costa Rica,188,0,1,1,"(8.635765,-77.346578)"
2013,Abril,Isla de Man,833,2,0,2,"(4.452882,-75.766298)"
2019,Agosto,Dinamarca,208,67,141,208,"(4.697144,-74.140516)"
2012,Agosto,España,724,10,10,20,"(-4.197703,-69.941278)"
2013,Junio,Perú,604,2126,3122,5248,"(4.697144,-74.140516)"
2018,Noviembre,Croacia,191,0,4,4,"(3.541112,-76.384584)"
2019,Abril,Bélgica,56,0,3,3,"(12.586067,-81.702563)"
2016,Marzo,Panamá,591,1737,1892,3629,"(4.697144,-74.140516)"
2017,Septiembre,Lesoto,426,1,0,1,"(6.171601,-75.427454)"
2012,Abril,Reino Unido de Gran Bretaña e Irlanda del Norte,826,1,1,2,"(4.697144,-74.140516)"
2023,Mayo,España,724,2,3,5,"(4.452882,-75.766298)"
2013,Septiembre,Lituania,440,2,1,3,"(6.171601,-75.427454)"
2012,Septiembre,Finlandia,246,1,4,5,"(10.445761,-75.516429)"
2016,Mayo,Ecuador,218,2,2,4,"(4.815061,-75.736532)"
2013,Diciembre,Sri Lanka,144,1,0,1,"(3.541112,-76.384584)"
2022,Diciembre,España,724,0,1,1,"(3.866713,-67.927521)"
2014,Marzo,México,484,2,1,3,"(11.360009,-72.129330)"
2019,Octubre,Sudán,736,0,2,2,"(6.171601,-75.427454)"
2015,Febrero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,1,1,2,"(0.25129,-76.875963)"
2015,Mayo,Australia,36,5,18,23,"(3.541112,-76.384584)"
2022,Mayo,Andorra,20,1,2,3,"(3.541112,-76.384584)"
2019,Noviembre,Israel,376,1,9,10,"(0.814836,-77.662532)"
2015,Julio,Perú,604,5,6,11,"(7.927209,-72.507910)"
2013,Julio,Portugal,620,4,18,22,"(3.541112,-76.384584)"
2018,Febrero,Kuwait,414,0,6,6,"(4.697144,-74.140516)"
2019,Febrero,Suecia,752,2,12,14,"(10.886611,-74.776708)"
2020,Marzo,Australia,36,2,1,3,"(4.815061,-75.736532)"
2019,Diciembre,Cuba,192,0,1,1,"(12.5744111,-81.703935)"
2015,Junio,Noruega,578,2,2,4,"(0.814836,-77.662532)"
2014,Junio,Iraq,368,0,1,1,"(4.697144,-74.140516)"
2013,Marzo,Bélgica,56,1,2,3,"(7.818934,-72.453226)"
2012,Marzo,Serbia,688,1,1,2,"(3.541112,-76.384584)"
2019,Enero,Ucrania,804,0,5,5,"(11.247723,-74.213989)"
2018,Octubre,México,484,3,3,6,"(12.586067,-81.702563)"
2022,Marzo,Letonia,428,6,4,10,"(10.445761,-75.516429)"
2019,Octubre,Nicaragua,558,0,1,1,"(11.360009,-72.129330)"
2012,Octubre,Grecia,300,0,1,1,"(8.635765,-77.346578)"
2014,Octubre,Bulgaria,100,0,2,2,"(7.818934,-72.453226)"
2014,Junio,Sudáfrica,710,0,1,1,"(3.541112,-76.384584)"
2018,Diciembre,Venezuela,862,5,4,9,"(12.586067,-81.702563)"
2022,Septiembre,Estados Unidos de América,840,4666,7575,12243,"(10.445761,-75.516429)"
2018,Junio,Uganda,800,0,1,1,"(1.813928,-78.763924)"
2017,Julio,Italia,380,1,0,1,"(6.185799,-67.483929)"
2016,Marzo,Sudáfrica,710,1,3,4,"(0.814836,-77.662532)"
2017,Julio,Suecia,752,1,1,2,"(-4.197703,-69.941278)"
2018,Abril,Portugal,620,32,38,70,"(3.541112,-76.384584)"
2017,Diciembre,España,724,11,39,50,"(10.886611,-74.776708)"
2017,Julio,Líbano,422,0,1,1,"(4.815061,-75.736532)"
2019,Agosto,Italia,380,16,30,46,"(0.814836,-77.662532)"
2013,Noviembre,Serbia,688,2,11,13,"(4.697144,-74.140516)"
2022,Junio,Guyana,328,0,1,1,"(12.586067,-81.702563)"
2019,Junio,Liberia,430,0,1,1,"(4.697144,-74.140516)"
2013,Diciembre,República Dominicana,214,0,1,1,"(4.452882,-75.766298)"
2023,Marzo,Granada,308,0,1,1,"(3.541112,-76.384584)"
2023,Mayo,Noruega,578,0,1,1,"(11.247723,-74.213989)"
2015,Agosto,China,156,0,4,4,"(0.814836,-77.662532)"
2019,Septiembre,Georgia,268,1,0,1,"(6.171601,-75.427454)"
2013,Septiembre,Brasil,76,1,0,1,"(7.128456,-73.183637)"
2022,Noviembre,Italia,380,46,57,103,"(7.818934,-72.453226)"
2012,Abril,República de Irlanda,372,7,7,14,"(10.445761,-75.516429)"
2022,Junio,Argentina,32,1,4,5,"(11.360009,-72.129330)"
2021,Diciembre,Estados Unidos de América,840,73,89,162,"(12.586067,-81.702563)"
2012,Octubre,Países Bajos,528,132,251,383,"(4.697144,-74.140516)"
2023,Enero,Argentina,32,0,1,1,"(8.36068,-72.409396)"
2016,Julio,Vietnam,704,1,1,2,"(6.171601,-75.427454)"
2019,Enero,Finlandia,246,2,14,16,"(3.541112,-76.384584)"
2012,Noviembre,Cuba,192,1,1,2,"(7.927209,-72.507910)"
2018,Enero,Italia,380,2,11,13,"(0.25129,-76.875963)"
2019,Junio,Federación de Rusia,643,0,1,1,"(11.360009,-72.129330)"
2019,Marzo,Austria,40,5,6,11,"(10.408582,-75.538003)"
2022,Mayo,México,484,0,2,2,"(12.586067,-81.702563)"
2018,Febrero,Polonia,616,0,2,2,"(10.886611,-74.776708)"
2022,Noviembre,Perú,604,97,58,155,"(-4.223468,-69.945098)"
2015,Octubre,Suecia,752,0,1,1,"(0.25129,-76.875963)"
2014,Junio,Brasil,76,242,197,439,"(12.586067,-81.702563)"
2018,Marzo,Nueva Zelanda,554,8,14,22,"(10.445761,-75.516429)"
2013,Diciembre,Argentina,32,108,210,318,"(6.171601,-75.427454)"
2020,Septiembre,Honduras,340,0,1,1,"(3.541112,-76.384584)"
2012,Abril,Federación de Rusia,643,1,2,3,"(0.814836,-77.662532)"
2016,Agosto,India,356,0,1,1,"(4.452882,-75.766298)"
2021,Febrero,Guatemala,320,4,10,15,"(3.541112,-76.384584)"
2012,Mayo,Austria,40,0,1,1,"(12.5744111,-81.703935)"
2013,Junio,Isla de Man,833,18,37,55,"(6.171601,-75.427454)"
2015,Noviembre,Turquía,792,0,5,5,"(10.408582,-75.538003)"
2016,Septiembre,Argentina,32,1,2,3,"(4.452882,-75.766298)"
2015,Agosto,Países Bajos,528,8,11,19,"(10.408582,-75.538003)"
2016,Abril,Guatemala,320,308,673,981,"(4.697144,-74.140516)"
2013,Julio,Alemania,276,4,3,7,"(7.128456,-73.183637)"
2021,Noviembre,Sri Lanka,144,0,3,3,"(10.886611,-74.776708)"
2019,Septiembre,Bélgica,56,8,18,26,"(3.541112,-76.384584)"
2022,Noviembre,Antigua y Barbuda,28,4,2,6,"(6.171601,-75.427454)"
2013,Junio,Polonia,616,1,2,3,"(7.818934,-72.453226)"
2016,Abril,Hungría,348,2,2,4,"(10.445761,-75.516429)"
2014,Marzo,Países Bajos,528,21,21,42,"(0.814836,-77.662532)"
2019,Noviembre,Serbia,688,0,1,1,"(0.814836,-77.662532)"
2019,Marzo,Polonia,616,19,24,43,"(6.171601,-75.427454)"
2019,Febrero,Polonia,616,7,7,14,"(4.815061,-75.736532)"
2017,Mayo,Eslovenia,705,1,1,2,"(10.408582,-75.538003)"
2023,Abril,Georgia,268,0,1,1,"(10.971302,-74.765397)"
2015,Marzo,Italia,380,0,1,1,"(0.25129,-76.875963)"
2012,Abril,Turquía,792,0,2,2,"(0.814836,-77.662532)"
2014,Febrero,Cuba,192,1,1,2,"(7.128456,-73.183637)"
2019,Enero,Finlandia,246,15,21,36,"(10.445761,-75.516429)"
2012,Abril,Ucrania,804,0,1,1,"(0.814836,-77.662532)"
2017,Noviembre,Costa Rica,188,68,43,111,"(12.586067,-81.702563)"
2015,Mayo,Sudáfrica,710,3,7,10,"(10.445761,-75.516429)"
2016,Marzo,México,484,9,21,30,"(10.408582,-75.538003)"
2016,Agosto,Uruguay,858,47,79,126,"(6.171601,-75.427454)"
2015,Agosto,Perú,604,0,2,2,"(6.185799,-67.483929)"
2014,Junio,Nicaragua,558,0,4,4,"(10.886611,-74.776708)"
2017,Febrero,Perú,604,3,3,6,"(7.128456,-73.183637)"
2018,Junio,Ucrania,804,4,4,8,"(6.171601,-75.427454)"
2019,Noviembre,Argentina,32,0,6,6,"(11.360009,-72.129330)"
2012,Octubre,República Árabe Siria,760,0,1,1,"(11.360009,-72.129330)"
2017,Enero,Países Bajos,528,1189,1618,2807,"(4.697144,-74.140516)"
2023,Junio,Rumania,642,11,20,31,"(6.171601,-75.427454)"
2016,Marzo,Vietnam,704,0,1,1,"(0.814836,-77.662532)"
2014,Diciembre,República Dominicana,214,2,5,7,"(7.128456,-73.183637)"
2012,Agosto,Ecuador,218,0,1,1,"(4.815061,-75.736532)"
2015,Julio,Portugal,620,7,22,29,"(3.541112,-76.384584)"
2016,Noviembre,Alemania,276,1,6,7,"(4.815061,-75.736532)"
2018,Enero,Federación de Rusia,643,1,1,2,"(13.3387613,-81.372937)"
2017,Julio,Ucrania,804,1,0,1,"(0.814836,-77.662532)"
2013,Diciembre,Japón,392,0,1,1,"(11.360009,-72.129330)"
2019,Noviembre,Bulgaria,100,1,0,1,"(4.815061,-75.736532)"
2017,Enero,Líbano,422,0,1,1,"(8.36068,-72.409396)"
2013,Febrero,Nigeria,566,0,1,1,"(10.445761,-75.516429)"
2022,Diciembre,Uruguay,858,52,96,148,"(6.171601,-75.427454)"
2017,Febrero,Hungría,348,1,0,1,"(11.360009,-72.129330)"
2018,Enero,Canadá,124,0,5,5,"(12.5744111,-81.703935)"
2016,Enero,República de Irlanda,372,4,2,6,"(10.886611,-74.776708)"
2017,Abril,Italia,380,141,195,336,"(10.445761,-75.516429)"
2013,Noviembre,Canadá,124,1,5,6,"(4.452882,-75.766298)"
2017,Enero,Turquía,792,0,1,1,"(11.360009,-72.129330)"
2014,Enero,Estados Unidos de América,840,0,1,1,"(10.971302,-74.765397)"
2022,Septiembre,Australia,36,22,30,52,"(10.445761,-75.516429)"
2021,Septiembre,San Cristóbal y Nevis,659,1,2,3,"(3.541112,-76.384584)"
2013,Noviembre,Países Bajos,528,1,2,3,"(10.445761,-75.516429)"
2023,Enero,Irán,364,0,1,1,"(4.815061,-75.736532)"
2022,Febrero,Venezuela,862,6,3,9,"(3.866713,-67.927521)"
2014,Julio,Tailandia,764,7,6,13,"(4.697144,-74.140516)"
2017,Abril,Argentina,32,183,129,312,"(12.586067,-81.702563)"
2014,Septiembre,Rumania,642,2,2,4,"(11.360009,-72.129330)"
2017,Noviembre,República Dominicana,214,142,180,322,"(6.171601,-75.427454)"
2015,Marzo,Japón,392,6,12,18,"(10.445761,-75.516429)"
2016,Mayo,República Checa,203,54,74,128,"(4.697144,-74.140516)"
2017,Abril,España,724,2853,5279,8132,"(4.697144,-74.140516)"
2017,Mayo,Surinam,740,8,40,48,"(4.697144,-74.140516)"
2016,Febrero,Ecuador,218,30,21,51,"(12.586067,-81.702563)"
2018,Abril,Bolivia,68,1,0,1,"(0.812436,-77.847006)"
2023,Enero,Alemania,276,0,3,3,"(10.971302,-74.765397)"
2013,Enero,Guatemala,320,0,1,1,"(10.408582,-75.538003)"
2014,Marzo,Kuwait,414,0,1,1,"(4.697144,-74.140516)"
2018,Marzo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,1,0,1,"(6.185799,-67.483929)"
2015,Abril,Croacia,191,1,1,2,"(6.171601,-75.427454)"
2016,Noviembre,Francia,250,2,4,6,"(12.586067,-81.702563)"
2016,Noviembre,Polonia,616,0,1,1,"(10.971302,-74.765397)"
2016,Enero,Polonia,616,2,1,3,"(10.886611,-74.776708)"
2019,Agosto,República Dominicana,214,0,1,1,"(-4.197703,-69.941278)"
2022,Octubre,Mauritania,478,0,1,1,"(3.541112,-76.384584)"
2012,Septiembre,Camerún,120,1,0,1,"(0.814836,-77.662532)"
2016,Junio,Tanzania,834,1,2,3,"(4.697144,-74.140516)"
2023,Febrero,Barbados,52,8,11,19,"(4.697144,-74.140516)"
2018,Agosto,Finlandia,246,33,48,81,"(4.697144,-74.140516)"
2022,Junio,Alemania,276,0,3,3,"(12.586067,-81.702563)"
2022,Julio,China,156,0,1,1,"(10.408582,-75.538003)"
2016,Mayo,Bangladesh,50,1,1,2,"(4.697144,-74.140516)"
2019,Mayo,Suecia,752,0,1,1,"(8.635765,-77.346578)"
2012,Abril,Cuba,192,13,31,44,"(6.171601,-75.427454)"
2020,Enero,Finlandia,246,1,2,3,"(12.586067,-81.702563)"
2021,Noviembre,República de Irlanda,372,0,2,2,"(4.815061,-75.736532)"
2012,Junio,Camerún,120,1,0,1,"(10.445761,-75.516429)"
2012,Abril,Rumania,642,2,0,2,"(0.814836,-77.662532)"
2022,Marzo,Noruega,578,0,1,1,"(4.452882,-75.766298)"
2017,Diciembre,Italia,380,1,2,3,"(8.635765,-77.346578)"
2017,Septiembre,Federación de Rusia,643,3,2,5,"(10.886611,-74.776708)"
2016,Marzo,Portugal,620,5,4,9,"(0.814836,-77.662532)"
2017,Marzo,República de Corea,410,4,33,37,"(6.171601,-75.427454)"
2018,Febrero,República de Corea,410,0,1,1,"(11.247723,-74.213989)"
2015,Septiembre,Costa Rica,188,4,15,19,"(10.886611,-74.776708)"
2022,Agosto,Sierra Leona,694,1,1,2,"(4.697144,-74.140516)"
2022,Mayo,Portugal,620,3,5,8,"(11.360009,-72.129330)"
2012,Enero,Cuba,192,0,1,1,"(4.452882,-75.766298)"
2022,Diciembre,México,484,2,0,2,"(0.25129,-76.875963)"
2012,Enero,Guatemala,320,0,1,1,"(0.814836,-77.662532)"
2019,Septiembre,Polonia,616,6,5,11,"(0.814836,-77.662532)"
2014,Noviembre,República de Irlanda,372,12,16,28,"(0.814836,-77.662532)"
2021,Diciembre,Belice,84,2,5,7,"(6.171601,-75.427454)"
2022,Julio,Turquía,792,1,5,6,"(3.541112,-76.384584)"
2021,Noviembre,Luxemburgo,442,1,0,1,"(4.815061,-75.736532)"
2015,Marzo,El Salvador,222,69,92,161,"(3.541112,-76.384584)"
2013,Noviembre,Argentina,32,11,23,34,"(11.360009,-72.129330)"
2012,Mayo,Reino Unido de Gran Bretaña e Irlanda del Norte,826,159,476,635,"(4.697144,-74.140516)"
2014,Abril,Emiratos Árabes,784,2,8,10,"(4.697144,-74.140516)"
2014,Marzo,Nicaragua,558,1,2,3,"(10.886611,-74.776708)"
2022,Diciembre,Cuba,192,5,13,18,"(10.445761,-75.516429)"
2017,Noviembre,Antigua y Barbuda,28,2,5,7,"(4.697144,-74.140516)"
2021,Junio,Honduras,340,30,31,61,"(3.541112,-76.384584)"
2022,Enero,Australia,36,61,209,270,"(4.697144,-74.140516)"
2012,Abril,Países Bajos,528,1,1,2,"(7.927209,-72.507910)"
2019,Mayo,Bolivia,68,1,0,1,"(8.36068,-72.409396)"
2016,Enero,Reino Unido de Gran Bretaña e Irlanda del Norte,826,3,3,6,"(0.25129,-76.875963)"
2012,Abril,Bulgaria,100,0,1,1,"(10.445761,-75.516429)"
2019,Febrero,Trinidad y Tobago,780,1,7,8,"(6.171601,-75.427454)"
2012,Julio,Nicaragua,558,0,1,1,"(12.5744111,-81.703935)"
2016,Marzo,República de Corea,410,3,1,4,"(4.815061,-75.736532)"
2014,Febrero,Lituania,440,0,1,1,"(11.360009,-72.129330)"
2013,Julio,India,356,1,10,11,"(10.445761,-75.516429)"
2021,Enero,Israel,376,4,50,54,"(6.171601,-75.427454)"
2013,Septiembre,Perú,604,15,9,24,"(10.408582,-75.538003)"
2012,Abril,Dinamarca,208,1,0,1,"(10.886611,-74.776708)"
2022,Abril,República Dominicana,214,0,3,3,"(4.452882,-75.766298)"
2020,Marzo,Alemania,276,1,1,2,"(12.586067,-81.702563)"
2014,Diciembre,Sudáfrica,710,30,48,78,"(4.697144,-74.140516)"
2015,Junio,Turquía,792,0,1,1,"(10.408582,-75.538003)"
2013,Septiembre,España,724,4,25,29,"(7.818934,-72.453226)"
2019,Abril,Cuba,192,22,25,47,"(6.171601,-75.427454)"
2017,Agosto,República de Irlanda,372,10,8,18,"(0.814836,-77.662532)"
2016,Junio,Cuba,192,2,3,5,"(0.814836,-77.662532)"
2015,Noviembre,Austria,40,126,276,402,"(4.697144,-74.140516)"
2013,Diciembre,Australia,36,4,12,16,"(10.886611,-74.776708)"
2022,Febrero,República Dominicana,214,75,82,157,"(3.541112,-76.384584)"
2019,Noviembre,Canadá,124,0,2,2,"(11.360009,-72.129330)"
2023,Abril,Estados Unidos de América,840,7636,9893,17529,"(10.445761,-75.516429)"
2022,Julio,Bélgica,56,0,1,1,"(11.360009,-72.129330)"
